股票,公司亮点,主营业务,收入,净利润,毛利率
三湘印象,公司亮点：中国旅游文化演艺产业的先行者和龙头企业,主营业务：房地产开发与经营及文化旅游演艺类业务。,收入：9.80亿元同比增长10.18%+,净利润：0.65亿元同比增长96.02%+,毛利率：52.19%+
新华联,"公司亮点：专注文旅的复合地产商,""文旅+地产+金融""联动发展",主营业务：文旅景区开发与运营、房地产项目开发建设、施工总承包、商业管理,收入：22.64亿元同比下降15.3%+,净利润：0.84亿元同比增长104.75%+,毛利率：23.46%+
南京商旅,"公司亮点：南京市属老牌外贸企业,进出口贸易为公司传统主业",主营业务：商业贸易和旅游。,收入：6.02亿元同比下降0.55%+,净利润：0.39亿元同比增长5.66%+,毛利率：28.40%+
华侨城A,"公司亮点：中国主题公园产业的领跑者,开创了""旅游+地产""模式",主营业务：旅游业务、房地产业务。,收入：544.07亿元同比下降2.4%+,净利润：-86.62亿元同比下降33.42%+,毛利率：13.05%+
祥源文旅,"公司亮点：以旅游资产和数字文化资产投资运营业务为核心,覆盖多处知名旅游","主营业务：以景区交通业务为主,以酒店、餐饮、动物展览、文创产品销售等与",收入：8.64亿元同比增长19.64%+,净利润：1.47亿元同比下降3.14%+,毛利率：49.43%+
西藏旅游,公司亮点：西藏本土第一家上市企业,主营业务：旅游服务、旅游商业和旅游文创。,收入：2.13亿元同比增长0.17%+,净利润：None,毛利率：32.89%+
长白山,公司亮点：长白山保护开发区最大的旅游客运公司,主营业务：旅游客运业务、温泉开发业务、酒店管理业务、旅行社业务、景区管,收入：5.95亿元同比增长19.55%+,净利润：1.48亿元同比下降2.52%+,毛利率：45.72%+
中青旅,公司亮点：国内领先的综合旅游服务商,主营业务：文旅目的地投资运营管理和文旅综合服务业务。,收入：99.57亿元同比增长3.34%+,净利润：1.60亿元同比下降17.29%+,毛利率：23.09%+
三峡旅游,公司亮点：中国道路运输协会评定的道路旅客运输一级企业,主营业务：旅游综合服务业务、综合交通服务业务。,收入：5.56亿元同比下降56.58%+,净利润：1.12亿元同比增长7.21%+,毛利率：33.70%+
三特索道,公司亮点：以旅游客运索道为核心的运营公司,主营业务：旅游资源的综合开发与运营。,收入：6.92亿元同比下降3.69%+,净利润：1.42亿元同比增长11.34%+,毛利率：60.34%+
众信旅游,公司亮点：我国出境旅游专业运营商,主营业务：从事旅游批发、旅游零售、整合营销、旅游目的地运营、旅游产业链,收入：47.23亿元同比增长130.05%+,净利润：1.23亿元同比增长773.86%+,毛利率：13.04%+
岭南控股,"公司亮点：旅游和酒店为主的企业,线下销售网络涵盖近400家营业网点",主营业务：商旅出行(旅行社)业务、住宿(酒店)业务及其他旅游产业链相关,收入：43.09亿元同比增长25.43%+,净利润：1.50亿元同比增长116.08%+,毛利率：19.10%+
锦江酒店,公司亮点：中国最大的酒店、餐饮业上市公司之一,主营业务：全服务型酒店的营运及管理。,收入：140.63亿元同比下降4%+,净利润：9.11亿元同比下降9.06%+,毛利率：39.52%+
丽江股份,"公司亮点：立足丽江,辐射滇西北及云南的综合性旅游集团",主营业务：索道服务业务、文艺演出业务、酒店建设与运营业务、餐饮服务、旅,收入：8.08亿元同比增长1.19%+,净利润：2.11亿元同比下降7.27%+,毛利率：57.37%+
黄山旅游,公司亮点：黄山5A级景区的垄断性旅游企业,主营业务：景区业务、索道及缆车业务、酒店业务、旅行社业务、徽菜餐饮业务,收入：14.12亿元同比下降1.58%+,净利润：2.85亿元同比下降30.15%+,毛利率：53.41%+
凯撒旅业,公司亮点：一站式的旅游及生活服务解决方案提供商,主营业务：旅游服务和航食、铁路配餐业务。,收入：5.08亿元同比增长5.08%+,净利润：-0.18亿元同比增长92.3%+,毛利率：22.04%+
峨眉山A,"公司亮点：四川省龙头旅游企业,拥有峨眉山国家5A级景区资源",主营业务：从事峨眉山风景区游山门票、客运索道、宾馆酒店服务以及其他相关,收入：8.06亿元同比下降1.97%+,净利润：2.44亿元同比下降6.61%+,毛利率：53.12%+
曲江文旅,"公司亮点：西安曲江管委会旗下,运营管理""西安大雁塔-大唐芙蓉园”、西安城墙",主营业务：景区运营管理业务、文化主题酒店管理(含餐饮管理)业务、旅行社,收入：10.64亿元同比下降5.04%+,净利润：-1.81亿元同比下降390.12%+,毛利率：23.58%+
桂林旅游,"公司亮点：桂林市最大的上市旅游企业集团,拥有桂林大量的景区资源",主营业务：游船客运、景区旅游业务、酒店、公路旅行客运、出租车业务等。,收入：4.32亿元同比下降7.58%+,净利润：-2.04亿元同比下降1830.7%+,毛利率：27.50%+
云南旅游,公司亮点：云南省为数不多的综合性旅游上市公司,主营业务：文旅综合体的运营与服务。,收入：5.57亿元同比下降22.55%+,净利润：-0.28亿元同比增长93.41%+,毛利率：-2.25%+
天目湖,公司亮点：天目湖旅游景区的开发管理和经营,主营业务：旅游景区的开发管理和经营。,收入：4.05亿元同比下降14.77%+,净利润：0.85亿元同比下降28.84%+,毛利率：52.84%+
九华旅游,公司亮点：九华山地区主要从事酒店经营的旅游公司,主营业务：酒店业务、索道缆车业务、旅游客运业务及旅行社业务。,收入：7.64亿元同比增长5.64%+,净利润：None,毛利率：50.21%+
西安旅游,"公司亮点：西安曲江管委会旗下,主营商贸、旅行社、酒店业务,参股西安红土",主营业务：畅游旅行板块、品质酒店板块和西旅生态板块。,收入：4.35亿元同比下降18.35%+,净利润：-0.87亿元同比下降34.56%+,毛利率：5.52%+
首旅酒店,公司亮点：主营业务是酒店运营、酒店管理、景区运营,主营业务：中高端、经济型酒店运营管理及景区经营业务。,收入：77.51亿元同比下降0.54%+,净利润：8.06亿元同比增长1.41%+,毛利率：38.36%+
大连圣亚,"公司亮点：大连地区具备较完整产业链的旅游公司,拥有海洋馆,公园等资源",主营业务：景区经营、商业租赁、会展服务和动物经营。,收入：4.27亿元同比增长7.74%+,净利润：-0.02元+总股本:1.29亿,毛利率：65.67%+
